Opened,Open,High,Low,Close,Volume
2018-10-30 23:00:00,197.12000000,197.20000000,197.00000000,197.18000000,52.24192000
2018-10-30 23:01:00,197.18000000,197.18000000,196.98000000,197.06000000,30.80419000
2018-10-30 23:02:00,197.06000000,197.12000000,197.05000000,197.08000000,32.08398000
2018-10-30 23:03:00,197.10000000,197.24000000,197.10000000,197.16000000,21.91492000
2018-10-30 23:04:00,197.17000000,197.22000000,197.16000000,197.22000000,31.27657000
2018-10-30 23:05:00,197.21000000,197.28000000,197.16000000,197.20000000,33.59682000
2018-10-30 23:06:00,197.19000000,197.55000000,197.18000000,197.50000000,208.68213000
2018-10-30 23:07:00,197.48000000,197.72000000,197.37000000,197.63000000,149.23036000
2018-10-30 23:08:00,197.59000000,197.65000000,197.58000000,197.62000000,56.12687000
2018-10-30 23:09:00,197.60000000,197.64000000,197.60000000,197.62000000,26.21303000
2018-10-30 23:10:00,197.65000000,197.80000000,197.50000000,197.80000000,64.41075000
2018-10-30 23:11:00,197.67000000,197.71000000,197.63000000,197.69000000,18.67577000
2018-10-30 23:12:00,197.74000000,197.77000000,197.63000000,197.65000000,43.62705000
2018-10-30 23:13:00,197.65000000,197.70000000,197.63000000,197.63000000,60.81415000
2018-10-30 23:14:00,197.69000000,197.69000000,197.63000000,197.63000000,54.57879000
2018-10-30 23:15:00,197.62000000,197.65000000,197.57000000,197.63000000,131.46585000
2018-10-30 23:16:00,197.62000000,197.74000000,197.56000000,197.58000000,72.06616000
2018-10-30 23:17:00,197.61000000,197.64000000,197.45000000,197.48000000,41.20126000
2018-10-30 23:18:00,197.49000000,197.50000000,197.36000000,197.38000000,50.09722000
2018-10-30 23:19:00,197.39000000,197.49000000,197.39000000,197.42000000,15.96468000
2018-10-30 23:20:00,197.44000000,197.54000000,197.42000000,197.45000000,99.42023000
2018-10-30 23:21:00,197.48000000,197.48000000,197.42000000,197.45000000,21.43640000
2018-10-30 23:22:00,197.45000000,197.51000000,197.40000000,197.47000000,37.11651000
2018-10-30 23:23:00,197.47000000,197.50000000,197.44000000,197.50000000,19.27020000
2018-10-30 23:24:00,197.49000000,197.49000000,197.41000000,197.47000000,29.27278000
